# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
65799,0.103966,0.080484,36.506686,1.702758,38.209444
65999,0.103984,0.109932,36.634933,1.708169,38.343102
66199,0.104028,0.118458,36.784753,1.713640,38.498393
66399,0.103940,0.074761,36.906269,1.719031,38.625301
66599,0.103943,0.105000,37.049086,1.724477,38.773563
66799,0.103939,0.102800,37.183994,1.729905,38.913898
66999,0.103943,0.105043,37.307596,1.735283,39.042879
67199,0.103949,0.106095,37.457116,1.740753,39.197869
67399,0.103881,0.081181,37.601720,1.746203,39.347924
67599,0.103896,0.108679,37.728569,1.751641,39.480210
67799,0.103881,0.099048,37.851110,1.757071,39.608181
67999,0.103855,0.094781,38.004066,1.762498,39.766564
68199,0.103820,0.092146,38.135691,1.767955,39.903647
68399,0.103843,0.111714,38.270925,1.773368,40.044293
68599,0.103782,0.082823,38.410092,1.778778,40.188870
68799,0.103720,0.082295,38.544697,1.784205,40.328902
68999,0.103652,0.080263,38.680405,1.789635,40.470040
69199,0.103643,0.100703,38.815493,1.795069,40.610563
69399,0.103589,0.084783,38.952038,1.800513,40.752551
69599,0.103578,0.099830,39.090089,1.805957,40.896047
69799,0.103605,0.112996,39.214755,1.811332,41.026087
69999,0.103579,0.094545,39.338253,1.816774,41.155027
70199,0.103560,0.096856,39.478217,1.822240,41.300456
70399,0.103526,0.091606,39.741488,1.827811,41.569299
70599,0.103505,0.096177,39.889598,1.833285,41.722883
70799,0.103554,0.120866,40.012204,1.838687,41.850891
70999,0.103548,0.101223,40.154614,1.844130,41.998744
71199,0.103571,0.111905,40.297980,1.849594,42.147573
71399,0.103554,0.097428,40.437639,1.855079,42.292718
71599,0.103513,0.088944,40.566829,1.860508,42.427337
71799,0.103500,0.098764,40.693750,1.865973,42.559723
71999,0.103477,0.095237,40.840627,1.871445,42.712072
72199,0.103388,0.071470,40.988259,1.876915,42.865174
72399,0.103376,0.098811,41.139839,1.882392,43.022231
72599,0.103386,0.107336,41.269267,1.887863,43.157130
72799,0.103304,0.073520,41.401823,1.893355,43.295179
72999,0.103284,0.095931,41.533909,1.898835,43.432744
73199,0.103218,0.078915,41.687926,1.904323,43.592248
73399,0.103146,0.076912,41.829477,1.909815,43.739291
73599,0.103217,0.129407,41.953840,1.915270,43.869109
73799,0.103206,0.099138,42.111298,1.920748,44.032046
73999,0.103199,0.100481,42.248790,1.926232,44.175022
74199,0.103120,0.073943,42.378230,1.931726,44.309955
74399,0.103076,0.086868,42.525004,1.937204,44.462208
74599,0.103069,0.100199,42.657364,1.942684,44.600048
74799,0.103067,0.102419,42.793532,1.948154,44.741686
74999,0.103039,0.092566,42.939538,1.953658,44.893196
75199,0.102957,0.072372,43.073615,1.959154,45.032769
75399,0.102902,0.082045,43.207810,1.964657,45.172467
75599,0.102834,0.077267,43.377050,1.970212,45.347262
75799,0.102787,0.084887,43.503922,1.975665,45.479587
75999,0.102710,0.073795,43.636852,1.981185,45.618037
76199,0.102677,0.090087,43.771174,1.986682,45.757857
76399,0.102637,0.087377,44.020033,1.992240,46.012273
76599,0.102584,0.082113,44.158336,1.997749,46.156085
76799,0.102647,0.127011,44.319462,2.003266,46.322727
76999,0.102685,0.117127,44.451005,2.008746,46.459751
77199,0.102645,0.087341,44.577772,2.014212,46.591984
77399,0.102619,0.092619,44.718814,2.019702,46.738516
77599,0.102650,0.114529,44.869899,2.025194,46.895093
77799,0.102611,0.087538,45.002870,2.030691,47.033561
77999,0.102603,0.099513,45.130123,2.036139,47.166262
78199,0.102571,0.089900,45.259101,2.041627,47.300729
78399,0.102517,0.081515,45.389211,2.047087,47.436298
78599,0.102520,0.103727,45.517602,2.052546,47.570149
78799,0.102460,0.078855,45.645773,2.057993,47.703766
78999,0.102430,0.090659,45.775587,2.063501,47.839087
79199,0.102394,0.088294,45.925295,2.069010,47.994305
79399,0.102366,0.091205,46.056161,2.074522,48.130683
79599,0.102392,0.112735,46.242485,2.080073,48.322558
79799,0.102336,0.080168,46.376199,2.085579,48.461778
79999,0.102330,0.099798,46.526449,2.091103,48.617552
80199,0.102308,0.093336,46.656071,2.096610,48.752682
80399,0.102289,0.094838,46.794044,2.102086,48.896130
