# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
63999,0.148460,0.134869,26.973469,14.260199,41.233668
64199,0.148465,0.150092,27.059409,14.304672,41.364081
64399,0.148394,0.125548,27.141238,14.349211,41.490449
64599,0.148433,0.160782,27.223241,14.393718,41.616959
64799,0.148344,0.119665,27.306366,14.438151,41.744517
64999,0.148371,0.157062,27.389285,14.482811,41.872096
65199,0.148302,0.125914,27.475040,14.527261,42.002302
65399,0.148211,0.118620,27.557118,14.571632,42.128750
65599,0.148129,0.121315,27.640499,14.616227,42.256726
65799,0.148049,0.121722,27.722330,14.660561,42.382891
65999,0.148056,0.150420,27.804471,14.704872,42.509343
66199,0.148085,0.157584,27.890687,14.749312,42.639999
66399,0.148007,0.122159,27.973545,14.793540,42.767084
66599,0.147852,0.096634,28.055840,14.837896,42.893736
66799,0.147791,0.127540,28.137907,14.882240,43.020147
66999,0.147721,0.124213,28.220143,14.926592,43.146735
67199,0.147634,0.118620,28.309316,14.970980,43.280296
67399,0.147650,0.152731,28.391271,15.015149,43.406421
67599,0.147684,0.159141,28.473837,15.059652,43.533489
67799,0.147692,0.150506,28.555747,15.103936,43.659683
67999,0.147742,0.164820,28.639027,15.148172,43.787199
68199,0.147706,0.135393,28.727475,15.192642,43.920118
68399,0.147716,0.151089,28.809576,15.237068,44.046644
68599,0.147720,0.149255,28.891714,15.281397,44.173112
68799,0.147711,0.144512,28.974835,15.325857,44.300691
68999,0.147668,0.132903,29.057403,15.370440,44.427844
69199,0.147685,0.153566,29.145851,15.414880,44.560732
69399,0.147645,0.133643,29.227748,15.459266,44.687014
69599,0.147598,0.131458,29.311010,15.503696,44.814706
69799,0.147652,0.166341,29.392819,15.548003,44.940822
69999,0.147669,0.153552,29.475174,15.592563,45.067736
70199,0.147590,0.120016,29.563274,15.636931,45.200205
70399,0.147639,0.164813,29.646024,15.681245,45.327270
70599,0.147607,0.136288,29.728235,15.725862,45.454098
70799,0.147526,0.119059,29.810393,15.770264,45.580657
70999,0.147542,0.153192,29.892680,15.814672,45.707352
71199,0.147559,0.153420,29.982748,15.859331,45.842079
71399,0.147523,0.134920,30.064762,15.903811,45.968573
71599,0.147522,0.147181,30.147230,15.948439,46.095669
71799,0.147494,0.137194,30.229670,15.992803,46.222473
71999,0.147415,0.119301,30.313321,16.037364,46.350685
72199,0.147487,0.173197,30.402914,16.082400,46.485314
72399,0.147391,0.112941,30.485203,16.127190,46.612394
72599,0.147394,0.148305,30.567797,16.171894,46.739691
72799,0.147393,0.146987,30.651447,16.216400,46.867847
72999,0.147332,0.125140,30.733942,16.260930,46.994872
73199,0.147279,0.127980,30.822929,16.305634,47.128564
73399,0.147193,0.115720,30.905176,16.350344,47.255520
73599,0.147293,0.184200,30.988773,16.394898,47.383671
73799,0.147297,0.148588,31.071092,16.439331,47.510422
73999,0.147324,0.157377,31.153510,16.483815,47.637325
74199,0.147301,0.138582,31.242776,16.528509,47.771284
74399,0.147301,0.147339,31.326244,16.573036,47.899279
74599,0.147290,0.143226,31.409019,16.617734,48.026753
74799,0.147267,0.138840,31.491753,16.662343,48.154096
74999,0.147247,0.139827,31.575010,16.707173,48.282183
75199,0.147263,0.152996,31.665648,16.751844,48.417493
75399,0.147284,0.155294,31.747696,16.796306,48.544002
75599,0.147298,0.152761,31.830607,16.840903,48.671510
75799,0.147294,0.145628,31.913181,16.885367,48.798548
75999,0.147272,0.138847,31.996301,16.929863,48.926164
76199,0.147321,0.166137,32.085491,16.974744,49.060234
76399,0.147248,0.119341,32.167527,17.019350,49.186877
76599,0.147204,0.130218,32.282385,17.063249,49.345634
76799,0.147186,0.140532,32.365368,17.107596,49.472964
76999,0.147251,0.172129,32.447184,17.151814,49.598998
77199,0.147275,0.156654,32.532237,17.196058,49.728295
77399,0.147262,0.142199,32.614000,17.240325,49.854325
77599,0.147257,0.145131,32.696889,17.284477,49.981366
77799,0.147278,0.155561,32.779710,17.329042,50.108752
77999,0.147333,0.168816,32.861807,17.373371,50.235177
78199,0.147319,0.141910,32.947608,17.417628,50.365236
78399,0.147315,0.145427,33.030497,17.461803,50.492301
78599,0.147330,0.153365,33.112223,17.505962,50.618185
78799,0.147271,0.124100,33.194467,17.550117,50.744584
78999,0.147323,0.167941,33.277005,17.594407,50.871412
79199,0.147241,0.114895,33.363889,17.638525,51.002414
79399,0.147195,0.129009,33.445711,17.682818,51.128529
79599,0.147248,0.168274,33.528038,17.727232,51.255271
79799,0.147296,0.166237,33.610293,17.771459,51.381752
79999,0.147259,0.132646,33.693662,17.815729,51.509391
80199,0.147278,0.154670,33.779302,17.860033,51.639335
80399,0.147257,0.138921,33.860980,17.904235,51.765215
80599,0.147265,0.150511,33.942608,17.948368,51.890976
80799,0.147223,0.130313,34.025582,17.992439,52.018021
80999,0.147187,0.132620,34.107790,18.036508,52.144298
81199,0.147125,0.122145,34.193592,18.080651,52.274242
81399,0.147185,0.171299,34.275100,18.124812,52.399912
81599,0.147217,0.160440,34.358191,18.169077,52.527268
81799,0.147305,0.182989,34.440707,18.213438,52.654145
81999,0.147262,0.129548,34.523558,18.257985,52.781543
82199,0.147274,0.152201,34.609197,18.302162,52.911359
82399,0.147245,0.135416,34.691955,18.346322,53.038277
82599,0.147159,0.112026,34.773649,18.390426,53.164075
