# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
69199,0.115335,0.105075,433.996608,23.136410,457.133017
69399,0.115289,0.099117,437.010524,23.211334,460.221857
69599,0.115286,0.114394,439.259054,23.286186,462.545240
69799,0.115245,0.100965,441.417123,23.361092,464.778215
69999,0.115208,0.102221,443.768181,23.436061,467.204241
70199,0.115236,0.125297,445.905510,23.510723,469.416234
70399,0.115201,0.102868,448.210787,23.585278,471.796065
70599,0.115169,0.103641,450.408373,23.660565,474.068938
70799,0.115172,0.116536,452.598733,23.735790,476.334523
70999,0.115187,0.120352,454.920890,23.811034,478.731924
71199,0.115151,0.102424,457.189407,23.886104,481.075511
71399,0.115109,0.100039,459.458426,23.960816,483.419243
71599,0.115090,0.108419,461.585740,24.035073,485.620812
71799,0.115107,0.121206,463.657079,24.109524,487.766604
71999,0.115042,0.091634,465.869668,24.184433,490.054101
72199,0.115032,0.111573,468.118867,24.259506,492.378372
72399,0.114964,0.090263,470.353647,24.334986,494.688633
72599,0.114869,0.080657,472.567166,24.409933,496.977099
72799,0.114853,0.108738,474.734281,24.484791,499.219072
72999,0.114861,0.117798,477.094034,24.559959,501.653992
73199,0.114852,0.111794,479.516112,24.635671,504.151784
73399,0.114869,0.121005,481.798050,24.710951,506.509001
73599,0.114886,0.121050,484.089232,24.786237,508.875469
73799,0.114945,0.136669,486.357344,24.861546,511.218890
73999,0.114928,0.108798,488.533053,24.936600,513.469653
74199,0.114899,0.103948,490.811721,25.011589,515.823310
74399,0.114832,0.089917,493.079823,25.086969,518.166793
74599,0.114811,0.107095,495.396426,25.163028,520.559454
74799,0.114775,0.101525,497.548005,25.237963,522.785969
74999,0.114776,0.114895,499.865857,25.313736,525.179593
75199,0.114753,0.106146,503.032802,25.389611,528.422414
75399,0.114750,0.113703,505.194115,25.464584,530.658699
75599,0.114732,0.107989,507.539445,25.540230,533.079675
75799,0.114679,0.094592,509.894248,25.616135,535.510382
75999,0.114650,0.103763,512.256240,25.691778,537.948018
76199,0.114642,0.111753,514.484620,25.766958,540.251579
76399,0.114617,0.104753,516.709048,25.842286,542.551333
76599,0.114587,0.103160,519.149093,25.918165,545.067258
76799,0.114602,0.120446,521.466361,25.993954,547.460315
76999,0.114615,0.119636,523.690032,26.069683,549.759716
77199,0.114599,0.108299,525.937026,26.145232,552.082258
77399,0.114564,0.101020,528.322174,26.221348,554.543522
77599,0.114522,0.098527,530.564738,26.296826,556.861564
77799,0.114522,0.114399,532.768025,26.372396,559.140421
77999,0.114542,0.122323,535.122201,26.447949,561.570149
78199,0.114495,0.096227,537.595700,26.524411,564.120110
78399,0.114552,0.136771,539.963497,26.600738,566.564235
78599,0.114567,0.120566,542.160357,26.675774,568.836131
78799,0.114534,0.101353,544.719746,26.752157,571.471903
78999,0.114462,0.086122,547.073268,26.827483,573.900751
79199,0.114426,0.100405,549.521361,26.903857,576.425217
79399,0.114386,0.098510,551.890948,26.980116,578.871063
79599,0.114331,0.092248,555.072992,27.056342,582.129334
79799,0.114347,0.120885,556.581911,27.131722,583.713632
