# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
65399,4532.052116,6874.830038,28.469201,14.674453,43.143654
65599,4547.950234,9746.634784,28.550759,14.719301,43.270059
65799,4555.514551,7036.610406,28.631857,14.764352,43.396209
65999,4566.014591,8020.527798,28.712929,14.809241,43.522171
66199,4573.695494,7108.393387,28.794185,14.854231,43.648416
66399,4583.689206,7891.608113,28.879919,14.899117,43.779036
66599,4596.461449,8836.845883,28.960781,14.944032,43.904813
66799,4607.234528,8194.669880,29.041777,14.988821,44.030597
66999,4614.794411,7139.795302,29.123207,15.033858,44.157065
67199,4623.732558,7618.011968,29.205670,15.078698,44.284368
67399,4633.707945,7985.438046,29.290412,15.123453,44.413865
67599,4638.646523,6302.947107,29.370953,15.167913,44.538866
67799,4650.145541,8536.813652,29.451634,15.212381,44.664015
67999,4658.025120,7329.202630,29.562715,15.257264,44.819979
68199,4664.241505,6777.812183,29.643559,15.302141,44.945699
68399,4671.692620,7212.523054,29.729796,15.346938,45.076734
68599,4680.859583,7815.960766,29.810336,15.391655,45.201991
68799,4685.571261,6301.676976,29.892262,15.436600,45.328862
68999,4692.888414,7209.988757,29.973470,15.481432,45.454902
69199,4698.558496,6654.736938,30.054591,15.526244,45.580836
69399,4703.655515,6467.224179,30.142332,15.571209,45.713541
69599,4707.060473,5888.580729,30.224430,15.616295,45.840726
69799,4711.783028,6355.232320,30.305428,15.661151,45.966579
69999,4718.807117,7170.214099,30.386580,15.705865,46.092446
70199,4723.291529,6292.835769,30.467875,15.750682,46.218557
70399,4728.825857,6671.374895,30.556591,15.795572,46.352164
70599,4733.238506,6286.490846,30.637863,15.840563,46.478426
70799,4736.692862,5956.080647,30.754025,15.885179,46.639204
70999,4738.464340,5365.567598,30.840684,15.930288,46.770972
71199,4744.326937,6825.548956,30.923218,15.975552,46.898769
