# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
55399,4049.259097,12345.818047,1.313965,10.254358,11.568323
55599,4082.205609,13208.389378,1.315484,10.294017,11.609501
55799,4110.865819,12078.404129,1.317331,10.332785,11.650117
55999,4136.375568,11253.595662,1.319013,10.366523,11.685536
56199,4159.978932,10768.920692,1.335812,10.400315,11.736127
56399,4182.878604,10617.686352,1.337361,10.437073,11.774434
56599,4199.972876,9020.557785,1.338733,10.470388,11.809120
56799,4218.368021,9424.194087,1.340325,10.504606,11.844931
56999,4238.910727,10073.039138,1.342253,10.544594,11.886846
57199,4251.969037,7973.587487,1.357622,10.580762,11.938384
57399,4262.089794,7156.626120,1.359053,10.622047,11.981100
57599,4275.111650,8012.384291,1.360529,10.654334,12.014863
57799,4283.407610,6672.644302,1.362349,10.690283,12.052631
57999,4305.483586,10685.440649,1.364133,10.726649,12.090782
58199,4321.579310,8989.339002,1.380081,10.764033,12.144114
58399,4334.081995,7972.363392,1.381554,10.801338,12.182893
58599,4343.822314,7187.995670,1.382967,10.831204,12.214172
58799,4359.351897,8909.519482,1.384498,10.861244,12.245742
58999,4371.711659,8005.481767,1.386155,10.891484,12.277639
59199,4379.110776,6561.850192,1.403549,10.924181,12.327730
59399,4389.241903,7388.055495,1.404994,10.965153,12.370147
59599,4396.885493,6667.031847,1.406618,11.012022,12.418640
59799,4404.589792,6700.470940,1.408330,11.059762,12.468092
59999,4411.718524,6543.209436,1.410244,11.106827,12.517070
60199,4419.819488,6850.108612,1.425531,11.155141,12.580672
60399,4425.851149,6241.381068,1.426858,11.193757,12.620615
60599,4433.554183,6759.870401,1.428244,11.228119,12.656363
60799,4438.749422,6012.906860,1.430161,11.270948,12.701109
60999,4444.119993,6076.773751,1.432090,11.324267,12.756357
61199,4451.632314,6742.889953,1.449348,11.362715,12.812063
61399,4456.865448,6058.204594,1.450779,11.398023,12.848803
61599,4458.794535,5051.024260,1.452382,11.431353,12.883735
61799,4464.203998,6130.318588,1.453894,11.464312,12.918206
61999,4472.212109,6946.718508,1.455632,11.496384,12.952017
62199,4473.728861,4943.921875,1.473539,11.533483,13.007022
62399,4476.034074,5192.955342,1.475073,11.573783,13.048856
62599,4480.312842,5815.288351,1.476641,11.610463,13.087104
62799,4482.513431,5171.297894,1.478235,11.644389,13.122623
62999,4485.440338,5404.488979,1.480123,11.687205,13.167328
63199,4485.279897,4434.741051,1.497539,11.731185,13.228724
63399,4486.111835,4749.004299,1.499090,11.772224,13.271314
63599,4487.332324,4874.227248,1.500763,11.811235,13.311998
