# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
48399,2290.619183,1651.273962,1.164823,8.807098,9.971921
48599,2286.712550,1341.307362,1.166407,8.839537,10.005944
48799,2284.786893,1816.852124,1.168734,8.887653,10.056387
48999,2281.404048,1455.989971,1.170747,8.927000,10.097747
49199,2277.284695,1268.043336,1.181920,8.958121,10.140042
49399,2273.374699,1311.515683,1.183431,8.994331,10.177761
49599,2270.253577,1499.336236,1.185087,9.029138,10.214225
49799,2266.812804,1413.501194,1.186619,9.059644,10.246263
49999,2262.720423,1243.717504,1.188405,9.091062,10.279467
50199,2379.931293,31682.648730,1.199295,9.127333,10.326628
50399,2483.058122,28367.892409,1.200582,9.159202,10.359784
50599,2585.197742,28324.381835,1.201983,9.188466,10.390449
50799,2714.208328,35353.886583,1.203642,9.220670,10.424311
50999,2822.715382,30383.507085,1.205219,9.248871,10.454089
51199,2894.685235,21246.997723,1.216633,9.277700,10.494332
51399,2962.731125,20382.479009,1.217859,9.308581,10.526440
51599,3034.194050,21400.165877,1.219641,9.343200,10.562841
51799,3110.044925,22679.570668,1.221117,9.371747,10.592864
51999,3201.734346,26949.294315,1.222957,9.408483,10.631440
52199,3298.775757,28529.542735,1.237517,9.449663,10.687180
52399,3358.617044,18977.192951,1.238931,9.489143,10.728074
52599,3423.146082,20329.754064,1.240121,9.515812,10.755932
52799,3475.596322,17270.009334,1.241825,9.545698,10.787523
52999,3546.889458,22368.277405,1.243199,9.569966,10.813165
53199,3590.947176,15266.242445,1.258626,9.611808,10.870434
53399,3631.971816,14544.525895,1.260223,9.653771,10.913994
53599,3674.687698,15079.828202,1.261675,9.683150,10.944825
53799,3733.302021,19441.940578,1.263427,9.716172,10.979599
53999,3771.461212,14036.283814,1.265039,9.745003,11.010042
54199,3814.612553,15465.474550,1.278407,9.773973,11.052380
54399,3848.762435,13103.380303,1.280088,9.813348,11.093436
54599,3882.232363,12986.052878,1.281552,9.842195,11.123747
54799,3925.466719,15728.445855,1.283176,9.871631,11.154807
54999,3966.598166,15236.614797,1.284663,9.898251,11.182914
55199,3996.082668,12104.320491,1.298579,9.925099,11.223678
