# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
76199,0.145879,0.159658,32.507013,16.997916,49.504929
76399,0.145934,0.166872,32.596185,17.042562,49.638747
76599,0.146020,0.178849,32.678407,17.087101,49.765508
76799,0.146120,0.184394,32.762316,17.131689,49.894005
76999,0.146121,0.146398,32.894916,17.176561,50.071477
77199,0.146138,0.153012,32.976447,17.221111,50.197558
77399,0.146098,0.130352,33.060921,17.265698,50.326619
77599,0.146047,0.126646,33.143232,17.310271,50.453503
77799,0.145978,0.119136,33.224942,17.354937,50.579879
77999,0.145902,0.116296,33.306907,17.399702,50.706609
78199,0.145853,0.126683,33.388918,17.444387,50.833306
78399,0.145841,0.141159,33.475424,17.489147,50.964570
78599,0.145771,0.118327,33.557018,17.533763,51.090781
78799,0.145703,0.118802,33.639076,17.578453,51.217529
78999,0.145685,0.138594,33.720892,17.622968,51.343860
79199,0.145632,0.124901,33.804042,17.667595,51.471637
79399,0.145627,0.143532,33.889502,17.712288,51.601791
79599,0.145587,0.129789,33.970949,17.756797,51.727746
79799,0.145522,0.119699,34.052593,17.801151,51.853744
79999,0.145500,0.136576,34.135251,17.845484,51.980735
80199,0.145465,0.131700,34.217108,17.889964,52.107072
80399,0.145417,0.126035,34.302729,17.934583,52.237312
80599,0.145413,0.143838,34.384243,17.979054,52.363297
80799,0.145327,0.110461,34.466864,18.023432,52.490296
80999,0.145350,0.154725,34.586750,18.068130,52.654880
81199,0.145321,0.133842,34.668022,18.112733,52.780755
81399,0.145312,0.141496,34.755174,18.157316,52.912491
81599,0.145289,0.135750,34.837594,18.201972,53.039566
81799,0.145226,0.119653,34.919551,18.246870,53.166421
81999,0.145221,0.143362,35.001306,18.291469,53.292775
82199,0.145286,0.171968,35.083403,18.336241,53.419643
82399,0.145271,0.138845,35.172997,18.381105,53.554102
82599,0.145261,0.141193,35.254565,18.425797,53.680361
82799,0.145291,0.157769,35.336942,18.470704,53.807645
82999,0.145251,0.128785,35.420723,18.515463,53.936185
83199,0.145252,0.145616,35.503607,18.560080,54.063687
83399,0.145319,0.172870,35.592352,18.604980,54.197332
83599,0.145295,0.135583,35.674051,18.649706,54.323757
83799,0.145229,0.117661,35.756016,18.694336,54.450352
83999,0.145234,0.147174,35.839233,18.739136,54.578369
84199,0.145268,0.159689,35.921694,18.784031,54.705725
84399,0.145331,0.171807,36.010504,18.828992,54.839497
84599,0.145308,0.135497,36.092329,18.873578,54.965907
84799,0.145280,0.133677,36.175583,18.918250,55.093833
84999,0.145258,0.135635,36.257880,18.962958,55.220838
85199,0.145238,0.136763,36.339779,19.007644,55.347423
85399,0.145218,0.136652,36.428420,19.052317,55.480737
85599,0.145210,0.142040,36.511171,19.097102,55.608273
