# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
51599,2223.624853,1392.234556,1.360861,11.038297,12.399158
51799,2219.866959,1250.330273,1.363280,11.081235,12.444515
51999,2216.121452,1246.035258,1.365818,11.124262,12.490080
52199,2212.216465,1196.919925,1.373831,11.168234,12.542065
52399,2208.542549,1249.650466,1.376038,11.211304,12.587343
52599,2205.338918,1365.987599,1.378369,11.254253,12.632622
52799,2201.504005,1192.921886,1.380811,11.297248,12.678060
52999,2197.598977,1166.671423,1.383367,11.340220,12.723587
53199,2194.151382,1280.538696,1.391297,11.383290,12.774587
53399,2190.930594,1334.201165,1.393519,11.426849,12.820368
53599,2187.985870,1401.744325,1.395839,11.469896,12.865735
53799,2185.073506,1404.560031,1.398266,11.512854,12.911120
53999,2182.457657,1478.794435,1.400832,11.555920,12.956751
54199,2178.944323,1230.343962,1.408905,11.599180,13.008085
54399,2176.146848,1418.031050,1.411116,11.642362,13.053478
54599,2172.070033,1063.176396,1.413428,11.685042,13.098471
54799,2169.058728,1346.972560,1.415857,11.727891,13.143748
54999,2166.285548,1406.434219,1.418398,11.770669,13.189067
55199,2163.124356,1293.796504,1.426220,11.813552,13.239772
55399,2160.234511,1362.637321,1.428400,11.856200,13.284599
55599,2158.033930,1548.473011,1.430711,11.898929,13.329640
55799,2155.194832,1365.925661,1.433133,11.941670,13.374803
55999,2152.050908,1274.896138,1.435667,11.984517,13.420184
56199,2149.647958,1476.821893,1.443691,12.028155,13.471846
56399,2146.910540,1377.695968,1.445894,12.071054,13.516948
56599,2144.170727,1371.543642,1.448187,12.113746,13.561933
56799,2140.922302,1221.617884,1.450615,12.156560,13.607175
56999,2138.224989,1372.188094,1.453149,12.199414,13.652563
57199,2136.166286,1549.435839,1.461078,12.242224,13.703302
57399,2133.526909,1378.665314,1.463252,12.285016,13.748268
