# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET]
59599,2104.164456,1156.458521,1.476415,17.824929,19.301344
59799,2102.682005,1660.911712,1.478286,17.866869,19.345155
59999,2100.290600,1385.260591,1.480303,17.907730,19.388033
60199,2098.026553,1418.812175,1.494365,17.952122,19.446487
60399,2094.815295,1128.226673,1.496037,18.012223,19.508260
60599,2092.600859,1423.841194,1.498190,18.065398,19.563588
60799,2090.198039,1362.143641,1.500464,18.110276,19.610740
60999,2088.416015,1546.680664,1.502145,18.142623,19.644769
61199,2087.108836,1688.419431,1.516364,18.195399,19.711764
61399,2085.615869,1628.767745,1.518010,18.249362,19.767372
61599,2082.868625,1239.464882,1.519453,18.299854,19.819306
61799,2081.079054,1529.891279,1.521139,18.353215,19.874354
61999,2078.472056,1272.909670,1.522933,18.393710,19.916643
62199,2076.018129,1315.300689,1.541857,18.437203,19.979060
62399,2073.843644,1397.578661,1.543344,18.477882,20.021225
62599,2071.469513,1330.740847,1.545301,18.525903,20.071204
62799,2069.911154,1582.144523,1.547363,18.612265,20.159627
62999,2067.888501,1432.775477,1.549419,18.673216,20.222635
63199,2066.035883,1482.461441,1.567817,18.746724,20.314541
63399,2063.139030,1147.733300,1.570025,18.815025,20.385051
63599,2060.989955,1379.733323,1.572091,18.856323,20.428414
63799,2059.772440,1672.602565,1.573993,18.898455,20.472449
63999,2057.543962,1346.659409,1.575630,18.950918,20.526547
64199,2055.812232,1501.658709,1.593152,18.999749,20.592901
64399,2054.155617,1522.382079,1.594650,19.051695,20.646345
64599,2052.290114,1451.598308,1.596424,19.101479,20.697903
64799,2050.422045,1447.035637,1.598620,19.148094,20.746714
64999,2048.109399,1298.812231,1.600504,19.186801,20.787304
65199,2045.797048,1294.282817,1.618096,19.280622,20.898718
65399,2044.017609,1463.920731,1.620159,19.344118,20.964278
65599,2042.217120,1453.456986,1.621576,19.394404,21.015980
65799,2039.640518,1194.515212,1.623251,19.439309,21.062560
65999,2037.641127,1379.841480,1.625770,19.497258,21.123028
66199,2036.082638,1521.781419,1.633124,19.557404,21.190528
66399,2035.727977,1918.335078,1.634833,19.615300,21.250133
66599,2033.578733,1320.029808,1.636445,19.670268,21.306713
66799,2031.586674,1368.230984,1.638283,19.724356,21.362639
66999,2030.681538,1728.365851,1.640503,19.784575,21.425078
67199,2029.562115,1654.555729,1.648263,19.833207,21.481470
67399,2028.574163,1696.622276,1.649879,19.915197,21.565077
67599,2027.747658,1749.215280,1.651632,19.980742,21.632374
67799,2025.488399,1261.858879,1.653474,20.025108,21.678581
67999,2023.997727,1518.659995,1.655584,20.065767,21.721350
68199,2022.802688,1616.489535,1.664228,20.111662,21.775890
68399,2020.730713,1314.186933,1.666286,20.189109,21.855395
68599,2019.550413,1615.887855,1.668264,20.233713,21.901977
68799,2017.421935,1287.353971,1.670044,20.278502,21.948546
68999,2016.342930,1645.165477,1.672552,20.331690,22.004242
69199,2015.123453,1594.403896,1.679283,20.379870,22.059154
69399,2013.135566,1325.326413,1.681129,20.428657,22.109786
69599,2011.543261,1459.013413,1.682848,20.468354,22.151202
69799,2009.909327,1441.300359,1.685429,20.518208,22.203637
69999,2008.773578,1612.397186,1.687398,20.572733,22.260131
70199,2007.382230,1520.410299,1.695859,20.631582,22.327441
70399,2005.755649,1434.826025,1.697558,20.685846,22.383404
70599,2004.267201,1480.333473,1.699208,20.724872,22.424079
70799,2002.918337,1526.769218,1.700812,20.767316,22.468128
70999,2001.534993,1511.831299,1.702882,20.821445,22.524327
71199,2000.429016,1607.807136,1.711051,20.874867,22.585918
71399,1998.666334,1371.151402,1.713004,20.928810,22.641814
71599,1996.484153,1217.445714,1.715359,20.984364,22.699723
71799,1995.662424,1701.483369,1.717061,21.031008,22.748069
71999,1994.099164,1432.888793,1.719215,21.080644,22.799858
72199,1993.749267,1867.786517,1.726017,21.127542,22.853559
72399,1991.828086,1298.281670,1.727527,21.172437,22.899964
72599,1990.343687,1452.991274,1.729289,21.223512,22.952802
