# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET]
67999,2210.909808,2359.130230,29.301212,16.444395,45.745607
68199,2211.701713,2480.949481,29.380228,16.492221,45.872449
68399,2212.474038,2475.836976,29.492842,16.550253,46.043095
68599,2213.219721,2468.243316,29.579805,16.608650,46.188454
68799,2214.490282,2650.292468,29.653285,16.656046,46.309331
68999,2214.201072,2114.713047,29.717945,16.700997,46.418942
69199,2214.942736,2470.816845,29.790103,16.748205,46.538308
69399,2214.431783,2037.641793,29.868134,16.783743,46.651878
69599,2215.298417,2516.020409,29.945784,16.832771,46.778555
69799,2214.974224,2102.155262,30.016393,16.875917,46.892310
69999,2214.972957,2214.530684,30.224244,16.914294,47.138538
70199,2214.814454,2159.338392,30.286317,16.952868,47.239186
70399,2214.083188,1957.409000,30.358099,16.993349,47.351448
70599,2214.962400,2524.444945,30.432908,17.042700,47.475608
70799,2214.467506,2039.769751,30.510757,17.096206,47.606963
70999,2213.065862,1716.883838,30.709079,17.139932,47.849011
71199,2211.922982,1806.200877,30.769065,17.175459,47.944524
71399,2212.011477,2243.515591,30.856401,17.222176,48.078577
71599,2210.983684,1844.061603,30.916966,17.261446,48.178411
71799,2211.017278,2223.043997,30.988468,17.312806,48.301274
71999,2210.538440,2038.635605,31.059443,17.357191,48.416634
72199,2210.017008,2022.301324,31.131955,17.403721,48.535676
72399,2209.443947,2002.568845,31.226667,17.449292,48.675959
72599,2207.718144,1582.977702,31.291366,17.491272,48.782638
72799,2206.487851,1759.891516,31.359598,17.535201,48.894799
72999,2205.403365,1810.650435,31.430655,17.581529,49.012184
