# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
10199,0.211600,0.270636,0.209306,0.218931,0.212671,0.220229,0.206958,0.218927,0.144686,0.126614,5.492530,2.489933,7.982463,0.265850,2.273056,2.538906,4.592095,2.186508,6.778603,0.299943,2.190451,2.490394,1.637947,0.339802,1.977749
10399,0.212554,0.261192,0.208976,0.192128,0.212359,0.196444,0.206654,0.191156,0.144066,0.112428,5.577611,2.536868,8.114479,0.267288,2.317119,2.584407,4.656117,2.230306,6.886422,0.301418,2.234715,2.536133,1.680364,0.346971,2.027335
10599,0.214070,0.292914,0.209298,0.226054,0.212703,0.230565,0.206960,0.222875,0.143777,0.128782,5.648756,2.572004,8.220760,0.269049,2.353752,2.622801,4.716920,2.263925,6.980845,0.302911,2.269019,2.571930,1.703257,0.353345,2.056602
10799,0.215572,0.295173,0.209343,0.211714,0.212611,0.207755,0.207046,0.211625,0.143295,0.117762,5.709980,2.656810,8.366790,0.270787,2.386412,2.657199,4.782593,2.295203,7.077796,0.304546,2.299731,2.604278,1.739451,0.359503,2.098954
10999,0.217224,0.306463,0.209835,0.236409,0.212786,0.222236,0.207619,0.238544,0.142895,0.121290,5.841559,2.693261,8.534820,0.272865,2.421368,2.694233,4.849176,2.331065,7.180240,0.306460,2.333618,2.640078,1.782538,0.366322,2.148860
11199,0.216413,0.171766,0.208813,0.152581,0.211599,0.146334,0.206633,0.152386,0.142529,0.122361,5.915545,2.729371,8.644916,0.280844,2.455902,2.736746,4.946759,2.364852,7.311611,0.316203,2.367571,2.683774,1.832503,0.372992,2.205495
11399,0.215394,0.158358,0.207691,0.144865,0.210467,0.147078,0.205549,0.144865,0.142223,0.125138,6.078977,2.767875,8.846852,0.282440,2.488864,2.771304,5.002065,2.398490,7.400555,0.317765,2.402742,2.720507,1.859554,0.379855,2.239409
11599,0.215548,0.224340,0.207545,0.199230,0.210511,0.212978,0.205402,0.196996,0.142300,0.146659,6.159935,2.814262,8.974196,0.284208,2.532122,2.816330,5.133678,2.443060,7.576738,0.319416,2.449152,2.768568,1.892511,0.386775,2.279287
11799,0.214991,0.182649,0.206696,0.157465,0.209956,0.177797,0.204595,0.157825,0.141939,0.120974,6.274532,2.851031,9.125563,0.285961,2.570017,2.855978,5.182287,2.479061,7.661348,0.321177,2.486273,2.807449,1.916573,0.393653,2.310226
11999,0.215161,0.225208,0.205884,0.157949,0.209407,0.177009,0.203809,0.157418,0.141581,0.120491,6.363207,2.890339,9.253546,0.287841,2.606222,2.894063,5.234050,2.520088,7.754137,0.323125,2.523517,2.846643,1.950507,0.400356,2.350864
